Graph,Vertices,Edges,Density,BruteForceColoring_elapsed_ms,BruteForceColoring_result,DnCColoring_elapsed_ms,DnCColoring_result,DnCColoringParallel_elapsed_ms,DnCColoringParallel_result
random,2,1,0.05,00:00:00.0157195,Colorable,00:00:00.0231873,Colorable,00:00:00.0274493,Colorable
random,5,4,0.05,00:00:00.0003834,Colorable,00:00:00.0015073,Colorable,00:00:00.0004369,Colorable
random,10,10,0.05,00:00:00.0000639,Colorable,00:00:00.0001480,Colorable,00:00:00.0004310,Colorable
random,15,15,0.05,00:00:00.0000721,Colorable,00:00:00.0002112,Colorable,00:00:00.0002681,Colorable
random,20,22,0.05,00:00:00.0001349,Colorable,00:00:00.0002481,Colorable,00:00:00.0002628,Colorable
random,25,28,0.05,00:00:00.0000977,Colorable,00:00:00.0004644,Colorable,00:00:00.0003131,Colorable
random,30,37,0.05,00:00:01.5567734,Colorable,00:00:00.0003506,Colorable,00:00:00.0002640,Colorable
random,35,45,0.05,00:00:00.0000872,Colorable,00:00:00.0002152,Colorable,00:00:00.0004235,Colorable
random,40,51,0.05,00:00:00.0046538,Colorable,00:00:00.0006095,Colorable,00:00:00.0007076,Colorable
random,45,58,0.05,00:00:00.0000949,Colorable,00:00:00.0023249,Colorable,00:00:00.0049784,Colorable
random,50,65,0.05,00:00:10,Timeout,00:00:00.0011477,Colorable,00:00:00.0012525,Colorable
random,2,1,0.060000000000000005,00:00:00.0000186,Colorable,00:00:00.0000398,Colorable,00:00:00.0000460,Colorable
random,5,4,0.060000000000000005,00:00:00.0002103,Colorable,00:00:00.0000870,Colorable,00:00:00.0000663,Colorable
random,10,9,0.060000000000000005,00:00:00.0000337,Colorable,00:00:00.0000886,Colorable,00:00:00.0000855,Colorable
random,15,15,0.060000000000000005,00:00:00.0000245,Colorable,00:00:00.0000867,Colorable,00:00:00.0001804,Colorable
random,20,22,0.060000000000000005,00:00:00.0000475,Colorable,00:00:00.0001527,Colorable,00:00:00.0001750,Colorable
random,25,28,0.060000000000000005,00:00:00.0025897,Colorable,00:00:00.0003299,Colorable,00:00:00.0003798,Colorable
random,30,35,0.060000000000000005,00:00:00.0000457,Colorable,00:00:00.0001695,Colorable,00:00:00.0002019,Colorable
